Sexo;Estado Civil;Anos de estudo;Formação;Tempo de empresa;Unidade;Departamento;Cargo;Salário;Bônus
Masculino;Viúvo;16;Biológicas;0;Curitiba;Vendas;Assistente;7,47;3,02
Masculino;Casado;14;Exatas;21;Rio de Janeiro;Pessoal;Assistente;9,61;30,12
Feminino;Solteiro;11;Sócio-econômicas;25;Curitiba;Pessoal;Auxiliar;1,8;10,52
Feminino;Solteiro;14;Sócio-econômicas;10;Curitiba;Pessoal;Auxiliar;2,45;2,72
Masculino;Casado;17; ;12;São Paulo;Vendas;Assistente;18,93;27,14
Masculino;Casado;16;Sócio-econômicas;29;Rio de Janeiro;Vendas;Assistente;15,22;30,44
Masculino;Casado;14;Exatas;6;Curitiba;Produção;Auxiliar;5,19;8,32
Masculino;Divorciado;14;Sócio-econômicas;0;Curitiba;Produção;Auxiliar;2,3;20,84
Feminino;Casado;14;Biológicas;3;São Paulo;Financeiro;Auxiliar;2,78;3,86
Masculino;Casado;17;Sócio-econômicas;27;Rio de Janeiro;Vendas;Assistente;27,46;75,34
Feminino;Casado;16;Humanas;9;Florianópolis;Vendas;Auxiliar;7,94;19,68
Feminino;Viúvo;10;Sócio-econômicas;26;São Paulo;Produção;Auxiliar;4,72;2,4
Masculino;Divorciado;12;Biológicas;2;São Paulo;Produção;Auxiliar;1,99;6,68
Feminino;Casado;18;Sócio-econômicas;14;Curitiba;Vendas;Assistente;23,87;90,74
Masculino;Casado;15;Sócio-econômicas;15;Rio de Janeiro;Vendas;Assistente;14,3;20,14
Masculino;Casado;20;Sócio-econômicas;39;Rio de Janeiro;Vendas;Vice-Presidente;69,49;111
Masculino;Casado;15;Sócio-econômicas;15;São Paulo;Prod ;Assistente;13,71;28,02
Masculino;Casado;22;Sócio-econômicas;40;Rio de Janeiro;Vendas;Gere ;37,96;77,68
Masculino;Viúvo;18;Sócio-econômicas;23;Rio de Janeiro;Vendas;Assistente;18,57;41,24
Feminino;Casado;15;Sócio-econômicas;25;São Paulo;Financeiro;Assistente;11,03;20,6
Masculino;Solteiro;14;Humanas;14;São Paulo;Produção;Auxiliar;1,99;3,24
Masculino;Casado;22;Sócio-econômicas;37;Rio de Janeiro;Vendas;Vice-Presidente;99,77;176,88
Feminino;Casado;17;Sócio-econômicas;23;Rio de Janeiro;Vendas;Assistente;17,69;36,44
Feminino;Casado;13;Exatas;8;Rio de Janeiro;Produção;Auxiliar;3,24;9,7
Feminino;Casado;18;Exatas;15;Rio de Janeiro;Vendas;Assistente;10,07;11,26
Feminino;Casado;15;Humanas;13;Curitiba;Produção;Auxiliar;3,14;9,44
Masculino;Casado;14;Humanas;5;Curitiba;Vendas;Assistente;7,75;35,38
Masculino;Casado;19;Sócio-econômicas;20;Rio de Janeiro;Vendas;Gerente;24,3;68,06
Masculino;Casado;22;Humanas;28;Rio  ;Vendas;Gerente;30,12;108,78
Masculino;Casado;18;Sócio-econômicas;22;São Paulo;Vendas;Assistente;14,3;16,68
Feminino;Solteiro;15;Exatas;23;Rio de Janeiro;Vendas;Auxiliar;2,38;22,06
Masculino;Solteiro;20;Exatas;18;Curi ;Vendas;Assistente;4,4;23,58
Masculino;Casado;17;Sócio-econômicas;35;Rio de Janeiro;Vendas;Assistente;23,45;23,58
Masculino;Casado;19;Sócio-econômicas;29;Curitiba;Produção;Assistente;18,04;32,68
Masc ;Casado;12;Humanas;2;Florianópolis;Produção;Auxiliar;1,83;2,28
Masculino;Casado;19;Humanas;25;Curitiba;Vendas;Assistente;15,37;42,8
Feminino;Casado;16;Humanas;11;Rio de Janeiro;Vendas;Assistente;19,12;13,16
Masculino;Casado;14;Sócio-econômicas;23;São Paulo;Produção;Assistente;14,01;18,78
Feminino;Solteiro;10;Humanas;2;Florianópolis;Produção;Auxiliar;1,58;2
Feminino;Casado;13;Exatas;12;Florianópolis;Financeiro;Assistente;2,49;12,66
Masculino;Casado;15;Sócio-econômicas;19;São Paulo;Vendas;Assistente;13,43;20,38
Masculino;Casado;15;Sócio-econômicas;28;Curitiba;Vendas;Assistente;24,3;35,04
Masculino;Casado;14;Sócio-econômicas;23;São Paulo;Produção;Assistente;19,3;61,26
Masculino;Divorciado;12;Sócio-econômicas;16;Rio de Janeiro;Vendas;Auxiliar;7,47;3,04
Feminino;Viúvo;12;Exatas;8;São Paulo;Produção;Auxiliar;1,8;4,1
Masculino;Solteiro;10;Sócio-econômicas;0;Florianópolis;Produção;Auxiliar;5,19;6,58
Feminino;Casado;12;Biológicas;21;Curitiba;Produção;Auxiliar;1,8;14,2
Masculino;Casado;20;Sócio-econômicas;27;Rio de Janeiro;Vendas;Gerente;52,22;71,92
Masculino;Casado;18;Sócio-econômicas;23;Rio de Janeiro;Vendas;Assistente;16,34;68,06
Masculino;Casado;22;Humanas;30;Rio de Janeiro;Pessoal;Gere ;41,56;78,28
Feminino;Solteiro;15;Humanas;16;Curitiba;Produção;Auxiliar;1,95;2,78
Feminino;Solteiro;10;Biológicas;11;Rio de Janeiro;Produção;Auxiliar;3,54;2,88
Feminino;Solteiro;12;Humanas;4;Rio de Janeiro;Vendas;Auxiliar;2,23;2,56
Masculino;Casado;15;Exatas;10;Florianópolis;Pessoal;Auxiliar;6,84;4,68
Masculino;Casado;17;Humanas;16;Rio de Janeiro;Pessoal;Assistente;11,41;69,7
Masculino;Casado;16;Sócio-econômicas;28;Curitiba;Vendas;Gerente;35,96;50,36
Masculino;Viúvo;14;Humanas;21;Rio de Janeiro;Produção;Assistente;4,46;20,6
Feminino;Casado;12;Exatas;24;Curitiba;Produção;Auxiliar;1,54;5,82
Masculino;Casado;19;Humanas;13;Florianópolis;Vendas;Assistente;23,03;25,72
Masculino;Divorciado;13;Biológicas;14;Florianópolis;Produção;Auxiliar;5,05;8,68
Masculino;Casado;14;Humanas;11;Rio de Janeiro;Pessoal;Auxiliar;5,33;9,84
Masculino;Casado;16;Sócio-econômicas;18;Rio de Janeiro;Vendas;Assistente;35,4;131,42
Masculino;Casado;12;Humanas;9;São Paulo;Produção;Auxiliar;13,14;40,48
Masculino;Casado;19;Sócio-econômicas;36;Rio de Janeiro;Vendas;Gerente;42,81;44
Masculino;Divorciado;16;Exatas;0;São Paulo;Vendas;Auxiliar;2,53;28,9
Feminino;Viúvo;12;Exatas;8;Curitiba;Produção;Assistente;4,92;5,4
Masculino;Viúvo;16;Exatas;15;São  ;Vendas;Assistente;12,05;19,92
Feminino;Casado;11;Sócio-econômicas;14;Rio de Janeiro;Financeiro;Auxiliar;5,19;11,86
Masculino;Casado;16;Biológicas;16;São Paulo;Vendas;Assistente;21,21;7,74
Feminino;Casado;15;Sócio-econômicas;11;Rio de Janeiro;Vendas;Assistente;6,42;19,22
Masculino;Casado;17;Sócio-econômicas;11;Rio de Janeiro;Vendas;Assistente;13;5,22
Feminino;Solteiro;14;Exatas;10;São Paulo;Financeiro;Auxiliar;3,05;18,78
Masculino;Casado;21;Sócio-econômicas;25;São Paulo;Vendas;Gerente;25,62;75,34
Feminino;Casado;17;Sócio-econômicas;29;Rio de Janeiro;Vendas;Assistente;22,41;108,06
Feminino;Casado;14;Exatas;10;São Paulo;Vendas;Auxiliar;3,44;23,06
Masculino;Divorciado;15;Humanas;20;São Paulo;Pessoal;Assistente;9,28;23,84
Masculino;Casado;11;Humanas;6;São Paulo;Pessoal;Assistente;3,6;12,5
Feminino;Casado;18;Sócio-econômicas;22;Rio de Janeiro;Vendas;Assistente;13,57;19,46
Masculino;Casado;16;Sócio-econômicas;4;São Paulo;Vendas;Auxiliar;5,55;8,2
Masculino;Solteiro;15;Biológicas;1;Florianópolis;Financeiro;Auxiliar;6,84;3,42
Masculino;Divorciado;12;Sócio-econômicas;31;Rio de Janeiro;Financeiro;Assistente;9,07;17,08
Masculino;Casado;16;Sócio-econômicas;7;Rio de Janeiro;Produção;Assistente;8,24;9,96
Masculino;Casado;18;Sócio-econômicas;24;Rio de Janeiro;Vendas;Assistente;40,95;123,3
Feminino;Casado;14;Biológicas;7;Curitiba;Produção;Assistente;2,96;9,18
Masculino;Divorciado;17;Humanas;13;Curitiba;Vendas;Assistente;9,5;31,38
Masculino;Viúvo;13;Humanas;21;São Paulo;Vendas;Auxiliar;10,91;21,08
Feminino;Casado;10;Exatas;2;São Paulo;Produção;Auxiliar;1,7;3,46
Feminino;Casado;22;Sócio-econômicas;40;Rio de Janeiro;Vendas;Gerente;70,79;162,36
Feminino;Casado;16;Sócio-econômicas;4;Curitiba;Vendas;Assistente;12,59;16,48
Masculino;Casado;12;Biológicas;10;Curitiba;Produção;Auxiliar;2,61;17,92
Feminino;Casado;15;Sócio-econômicas;16;São Paulo;Vendas;Assistente;45,37;47,32
Feminino;Solteiro;14;Exatas;10;Florianópolis;Produção;Auxiliar;1,05;3,46
Feminino;Casado;12;Exatas;0;Curitiba;Produção;Auxiliar;1,57;2,92
Masculino;Casado;17;Sócio-econômicas;26;São Paulo;Pessoal;Assistente;18,04;15,7
Feminino;Solteiro;8;Exatas;3;Florianópolis;Prod ;Auxiliar;1,01;2,32
Feminino;Casado;16;Sócio-econômicas;25;Rio  ;Vendas;Assistente;5,78;9,56
Masculino;Casado;16;Humanas;7;São Paulo;Vendas;Assistente;6,17;35,04
Masculino;Solteiro;14;Exatas;7;Curitiba;Produção;Auxiliar;1,51;3,94
Masculino;Casado;17;Humanas;8;São Paulo;Vendas;Assistente;18,39;66,98
Masculino;Divorciado;19;Exatas;22;Rio de Janeiro;Vendas;Assistente;14,45;8,92
Feminino;Casado;19;Biológicas;28;Rio de Janeiro;Vendas;Assistente;30,63;51,24
Feminino;Casado;13;Sócio-econômicas;6;São Paulo;Vendas;Assistente;4,98;11,56
Feminino;Solteiro;12;Sócio-econômicas;0;Curitiba;Produção;Auxiliar;1,74;7,84
Masculino;Casado;18;Exatas;16;São Paulo;Pessoal;Assistente;10,66;23,84
Feminino;Casado;15;Humanas;10;São Paulo;Vendas;Auxiliar;2,83;19,92
Masculino;Solteiro;11;Exatas;20;Rio de Janeiro;Pessoal;Auxiliar;4,28;8,92
Masculino;Solteiro;12;Sócio-econômicas;22;São Paulo;Produção;Assistente;3,65;3,32
Feminino;Casado;18;Sócio-econômicas;16;Rio de Janeiro;Vendas;Assistente;9,61;18,56
Masculino;Viúvo;15;Exatas;26;Rio de Janeiro;Financeiro;Auxiliar;8,04;10,1
Feminino;Casado;11;Humanas;9;São Paulo;Produção;Auxiliar;1,64;3,84
Feminino;Divorciado;12;Exatas;12;Curitiba;Pessoal;Auxiliar;1;10,1
Feminino;Solteiro;9;Biológicas;0;Curitiba;Produção;Auxiliar;1,88;2,64
Masculino;Casado;17;Sócio-econômicas;22;Curitiba;Pessoal;Assistente;10,78;11,72
Masculino;Casado;18;Sócio-econômicas;17;Rio de Janeiro;Vendas;Gerente;25,4;30,12
Masculino;Casado;19;Humanas;26;Florianópolis;Vendas;Assistente;28,89;117,06
Masculino;Divorciado;15;Exatas;14;Rio de Janeiro;Financeiro;Auxiliar;3,24;6,38
Feminino;Casado;13;Sócio-econômicas;17;São Paulo;Financeiro;Assistente;16,01;12,84
Masculino;Casado;19;Sócio-econômicas;31;São Paulo;Vendas;Assistente;25,18;75,34
Masculino;Solteiro;16;Exatas;13;São Paulo;Vendas;Assistente;8,75;23,58
Masculino;Casado;16;Sócio-econômicas;32;Rio de Janeiro;Vendas;Assistente;37,67;7,2
Feminino;Casado;17;Biológicas;18;Rio de Janeiro;Financeiro;Auxiliar;11,15;15,12
Feminino;Casado;14;Exatas;2;Curitiba;Financeiro;Auxiliar;4,65;9,3
Masculino;Casado;11;Biológicas;13;Rio de Janeiro;Vendas;Auxiliar;7,01;6,48
Feminino;Divorciado;14;Exatas;0;Florianópolis;Pessoal;Auxiliar;3;9,96
Masculino;Casado;15;Exatas;14;Rio de Janeiro;Vendas;Assistente;7,38;34
Feminino;Casado;17;Exatas;25;Rio de Janeiro;Financeiro;Assistente;10,07;71,44
Masculino;Casado;19;Sócio-econômicas;26;Rio de Janeiro;Vendas;Gerente;26,53;43,2
Masculino;Divorciado;13;Biológicas;10;Curitiba;Produção;Auxiliar;3,81;8,2
Masculino;Casado;17;Humanas;8;Curitiba;Vendas;Assistente;3,1;10,24
Feminino;Solteiro;15;Sócio-econômicas;1;Florianópolis;Produção;Auxiliar;2,53;2,4
Masculino;Casado;17;Sócio-econômicas;22;São Paulo;Vendas;Assistente;23,45;46,48
Masculino;Divorciado;12;Biológicas;2;São Paulo;Produção;Auxiliar;1,54;5,06
Feminino;Casado;11;Sócio-econômicas;5;Curitiba;Pessoal;Auxiliar;2,3;2,88
Feminino;Solteiro;12;Exatas;4;Rio de Janeiro;Produção;Auxiliar;1,71;3,7
Feminino;Casado;18;Sócio-econômicas;29;Curitiba;Financeiro;Assistente;27,93;17,7
Masculino;Solteiro;11;Humanas;18;Curitiba;Produção;Auxiliar;1,64;4,76
Masculino;Viúvo;13;Exatas;7;Curitiba;Produção;Auxiliar;1,41;12,34
Feminino;Solteiro;14;Biológicas;15;Rio de Janeiro;Vendas;Assistente;17;11,56
Masculino;Casado;17;Sócio-econômicas;17;São Paulo;Vendas;Assistente;17,34;21,56
Feminino;Casado;18;Sócio-econômicas;28;Rio de Janeiro;Vendas;Assistente;31,91;26,56
Masculino;Casado;14;Exatas;2;São Paulo;Financeiro;Assistente;9,17;18,14
Feminino;Solteiro;11;Biológicas;16;São Paulo;Produção;Auxiliar;1,98;2,32
Feminino;Solteiro;8;Humanas;0;Florianópolis;Produção;Auxiliar;1,15;2,02
Feminino;Viúvo;13;Sócio-econômicas;13;Curitiba;Produção;Auxiliar;4,65;11,1
Masculino;Solteiro;8;Exatas;0;Florianópolis;Produção;Auxiliar;1,12;4,32
Masculino;Casado;15;Sócio-econômicas;34;Rio de Janeiro;Vendas;Gerente;56,25;65,92
Masculino;Casado;13;Sócio-econômicas;14;São Paulo;Prod ;Assistente;6,75;25,46
Masculino;Solteiro;14;Humanas;12;Rio de Janeiro;Produção;Auxiliar;2,78;13
Feminino;Divorciado;15;Sócio-econômicas;24;Rio de Janeiro;Produção;Assistente;4,46;8,8
Feminino;Casado;11;Exatas;0;Florianópolis;Pessoal;Auxiliar;1,65;18,56
Masculino;Casado;19;Sócio-econômicas;31;Rio de Janeiro;Vendas;Gerente;58,53;105,16
Feminino;Casado;14;Sócio-econômicas;12;Florianópolis;Vendas;Auxiliar;7,38;49,04
Feminino;Solteiro;18;Sócio-econômicas;24;Curitiba;Vendas;Assistente;11,66;53,52
Masculino;Casado;22;Sócio-econômicas;35;Rio de Janeiro;Vendas;Gerente;75,2;90,74
Feminino;Casado;16;Sócio-econômicas;16;São Paulo;Pessoal;Gerente;13,86;52,6
Masculino;Casado;14;Humanas;19;Curitiba;Produção;Assistente;3,65;17,92
Feminino;Casado;14;Sócio-econômicas;18;Rio de Janeiro;Vendas;Assistente;19,48;25,46
Masculino;Solteiro;17;Sócio-econômicas;22;Rio de Janeiro;Vend ;Assistente;8,54;25,18
Feminino;Casado;11;Biológicas;0;Rio de Janeiro;Produção;Auxiliar;3,05;4,76
Masculino;Casado;11;Exatas;0;Curitiba;Produção;Auxiliar;1,83;20,84
Masculino;Casado;15;Sócio-econômicas;25;São Paulo;Produção;Assistente;13,86;22,56
Masculino;Casado;19;Sócio-econômicas;28;São Paulo;Vendas;Gerente;17,17;90,74
Feminino;Casado;14;Humanas;22;São Paulo;Vendas;Assistente;10,54;32,02
Masculino;Casado;17;Sócio-econômicas;17;Rio de Janeiro;Vendas;Assistente;17,34;24,1
Masculino;Casado;18;Exatas;10;Rio de Janeiro;Vendas;Auxiliar;13,57;20,38
Masculino;Casado;18;Sócio-econômicas;26;São Paulo;Vendas;Assistente;46,36;30,44
Feminino;Casado;15;Sócio-econômicas;19;Rio de Janeiro;Vendas;Assistente;9,73;11,4
Feminino;Casado;13;Biológicas;26;Curitiba;Financeiro;Assistente;2,45;8,2
Feminino;Solteiro;8;Exatas;0;Curitiba;Produção;Auxiliar;1,02;2,08
Masculino;Casado;15;Sócio-econômicas;13;Rio de Janeiro;Financeiro;Auxiliar;8,24;19,22
Masculino;Casado;8;Exatas;2;Florianópolis;Pessoal;Auxiliar;1,52;4,32
Feminino;Casado;13;Biológicas;9;Rio de Janeiro;Pessoal;Auxiliar;4,16;3,14
Masculino;Solteiro;20;Sócio-econômicas;35;São Paulo;Vendas;Assistente;49,06;82,5
Masculino;Casado;13;Sócio-econômicas;12;Rio de Janeiro;Financeiro;Assistente;9,39;11,1
Masculino;Casado;10;Exatas;2;Curitiba;Produção;Auxiliar;2,66;3,46
Feminino;Casado;11;Sócio-econômicas;9;Rio de Janeiro;Financeiro;Assistente;4,92;28,9
Feminino;Viúvo;15;Sócio-econômicas;23;Curitiba;Produção;Auxiliar;4,92;9,44
Feminino;Casado;13;Sócio-econômicas;15;Rio de Janeiro;Produção;Auxiliar;6,84;14,76
Feminino;Casado;13;Exatas;20;São Paulo;Vendas;Assistente;6,33;14,38
Feminino;Casado;12;Exatas;8;Curitiba;Produção;Auxiliar;1,71;3,36
Feminino;Divorciado;13;Humanas;19;Curitiba;Vendas;Auxiliar;4,52;7,84
Masculino;Casado;15;Sócio-econômicas;26;Rio de Janeiro;Vendas;Assistente;9,96;19
Masculino;Casado;15;Sócio-econômicas;19;São Paulo;Produção;Auxiliar;32,4;17,3
Masculino;Viúvo;17;Sócio-econômicas;31;Rio de Janeiro;Vendas;Gerente;40,64;23,06
Masculino;Casado;14;Humanas;8;Rio de Janeiro;Pessoal;Assistente;7,56;14,02
Masculino;Solteiro;16;Humanas;17;São  ;Vendas;Assistente;19,86;28,9
Feminino;Casado;12;Sócio-econômicas;18;Rio de Janeiro;Vendas;Assistente;10,91;37,14
Masculino;Solteiro;14;Biológicas;3;Florianópolis;Produção;Auxiliar;3,65;3,7
Masculino;Casado;19;Sócio-econômicas;23;Rio de Janeiro;Vendas;Assistente;24,96;17,3
Masculino;Casado;13;Sócio-econômicas;14;Curitiba;Vendas;Assistente;21,01;61,26
Masculino;Casado;13;Sócio-econômicas;23;Curitiba;Pessoal;Assistente;20,05;40,1
Masculino;Viúvo;12;Exatas;8;Florianópolis;Financeiro;Auxiliar;2,38;6,1
Feminino;Casado;18;Sócio-econômicas;24;São Paulo;Vendas;Assistente;46,69;45,22
Masculino;Viúvo;15;Sócio-econômicas;5;São Paulo;Vendas;Assistente;7,19;13,5
Feminino;Casado;13;Sócio-econômicas;15;Florianópolis;Financeiro;Assistente;8,44;33
Feminino;Casado;16;Humanas;17;Florianópolis;Financeiro;Assistente;20,24;22,06
Masculino;Casado;15;Humanas;29;São Paulo;Vendas;Assistente;5,93;6
Masculino;Casado;17;Sócio-econômicas;23;Rio de Janeiro;Vendas;Assistente;21,01;88,8
Masculino;Casado;11;Sócio-econômicas;1;Florianópolis;Produção;Auxiliar;1,77;11,56
Feminino;Casado;16;Sócio-econômicas;28;Rio de Janeiro;Pessoal;Assistente;12,73;51,7
Masculino;Casado;14;Sóci ;24;Florianópolis;Produção;Assistente;13,57;33
Masculino;Casado;15;Humanas;7;Florianópolis;Vendas;Assistente;21,675;21,08
Feminino;Solteiro;11;Exatas;17;Rio de Janeiro;Pessoal;Auxiliar;1,04;4,9
Masculino;Casado;19;Sócio-econômicas;28;Rio de Janeiro;Vendas;Assistente;29,13;44
Masculino;Casado;16;Humanas;10;Curitiba;Financeiro;Auxiliar;4,59;17,5
Masculino;Casado;18;Sócio-econômicas;25;São Paulo;Vendas;Assistente;29,87;30,44
Masculino;Viúvo;16;Humanas;7;Rio de Janeiro;Vendas;Auxiliar;12,59;44,82
Feminino;Solteiro;16;Biológicas;12;Florianópolis;Produção;Auxiliar;2,12;3,36
Masculino;Divorciado;14;Exatas;16;Rio de Janeiro;Produção;Auxiliar;2,16;16,68
Masculino;Solteiro;15;Exatas;20;São Paulo;Pessoal;Assistente;5,93;16,28
Feminino;Solteiro;8;Exatas;0;Florianópolis;Produção;Auxiliar;1,03;2,06
Masculino;Casado;15;Exatas;12;Curitiba;Vendas;Auxiliar;3,92;10,96
Masculino;Casado;12;Humanas;10;Rio de Janeiro;Financeiro;Auxiliar;3,92;9,44
Feminino;Divorciado;11;Exatas;2;Florianópolis;Produção;Auxiliar;1,66;4,46
Masculino;Casado;15;Sócio-econômicas;25;Rio de Janeiro;Financeiro;Gerente;22,82;84,98
Feminino;Casado;12;Exat ;2;Florianópolis;Produção;Auxiliar;1,49;17,3
Feminino;Viúvo;13;Exatas;19;Florianópolis;Vendas;Auxiliar;3,34;20,38
Masculino;Casado;16;Sócio-econômicas;30; ;Pessoal;Assistente;15,37;16,08
Feminino;Solteiro;11;Humanas;8;Florianópolis;Financeiro;Auxiliar;3,29;2,46
Feminino;Casado;10;Exatas;17;Curitiba;Produção;Auxiliar;1,34;9,18
Masculino;Casado;18;Sócio-econômicas;22;Rio de Janeiro;Vendas;Assistente;37,09;58,26
Feminino;Solteiro;12;Biológicas;8;Curitiba;Produção;Auxiliar;3,34;3,86
Masculino;Divorciado;13;Biológicas;37;São Paulo;Vendas;Assistente;5,93;9,56
Masculino;Divorciado;14;Sócio-econômicas;7;Curitiba;Vendas;Assistente;9,5;2,12
Feminino;Casado;17;Biológicas;12;São Paulo;Produção;Assistente;3,87;4,76
Feminino;Casado;18;Biológicas;19;São Paulo;Vendas;Assistente;10,42;19,46
Masculino;Casado;21;Sócio-econômicas;19;Rio de Janeiro;Vendas;Gerente;35,68;72,48
Masculino;Casado;12;Sócio-econômicas;8;Curitiba;Produção;Auxiliar;9,84;31,7
Feminino;Casado;14;Exatas;22;Curitiba;Vendas;Assistente;8,75;47,32
Masculino;Solteiro;17;Biológicas;40;São Paulo;Financeiro;Assistente;25,62;29,82
Feminino;Casado;15;Humanas;13;Rio de Janeiro;Pessoal;Assistente;7,56;20,38
Masculino;Casado;16;Sócio-econômicas;18;Curitiba;Vendas;Assistente;16,01;49,04
Masculino;Casado;17;Sócio-econômicas;23;Curitiba;Financeiro;Assistente;26,53;22,06
Feminino;Casado;18;Sócio-econômicas;27;Rio de Janeiro;Vendas;Assistente;23,03;75,92
Feminino;Casado;9;Sócio-econômicas;8;São Paulo;Produção;Auxiliar;1,83;2,2
Feminino;Divorciado;16;Exatas;19;Rio  ;Financeiro;Auxiliar;5,12;8,68
Masculino;Casado;15;Humanas;17;Curitiba;Pessoal;Assistente;16,18;26,88
Masculino;Solteiro;8;Exatas;0;São Paulo;Vendas;Auxiliar;1,09;2,08
Masculino;Casado;15;Humanas;24;São Paulo;Financeiro;Assistente;15,37;9,18
Masculino;Divorciado;14;Biológicas;4;São Paulo;Financeiro;Auxiliar;5,19;5,56
Feminino;Casado;13;Exatas;29;São Paulo;Pessoal;Auxi ;9,5;4,32
Masculino;Divorciado;10;Biológicas;9;Curitiba;Produção;Auxiliar;3,98;29,2
Masculino;Casado;15;Biológicas;11;Curitiba;Produção;Assistente;10,3;14,38
Feminino;Viúvo;14;Sócio-econômicas;10;Rio de Janeiro;Produção;Auxiliar;3;10,24
Masculino;Casado;19;Sócio-econômicas;23;Rio de Janeiro;Vendas;Gerente;36,52;56,34
Masculino;Casado;15;Sócio-econômicas;15;Curitiba;Fina ;Auxiliar;11,53;2,54
Masculino;Casado;15;Sócio-econômicas;15;Florianópolis;Financeiro;Assistente;7,94;27,42
Masculino;Casado;18;Sócio-econômicas;26;Rio de Janeiro;Vendas;Assistente;20,05;21,56
Masculino;Casado;21;Sócio-econômicas;27;Rio de Janeiro;Vend ;Gerente;47,7;93,38
Feminino;Viúvo;14;Humanas;17;Curitiba;Produção;Auxiliar;2,74;3,26
Masculino;Casado;16;Sócio-econômicas;30;Rio de Janeiro;Financeiro;Assistente;18,57;58,26
Masculino;Casado;13;Humanas;6;Florianópolis;Produção;Auxiliar;3,81;12,66
Masculino;Divorciado;12;Exatas;9;Curitiba;Financeiro;Auxiliar;2,34;2,82
Feminino;Casado;17;Sócio-econômicas;10;Rio de Janeiro;Vendas;Assistente;23,66;40,1
Masculino;Casado;16;Humanas;18;Rio de Janeiro;Vendas;Assistente;10,91;58,76
Masculino;Casado;14;Sócio-econômicas;23;São Paulo;Vendas;Assistente;11,15;61,76
Masculino;Divorciado;19;Humanas;30;Rio de Janeiro;Vendas;Assistente;18,93;17,5
Feminino;Solteiro;12;Sócio-econômicas;9;Florianópolis;Pessoal;Auxiliar;5,05;14,76
Feminino;Casado;16;Humanas;10;São Paulo;Produção;Assistente;8,24;9,56
Feminino;Divorciado;14;Sócio-econômicas;16;Curitiba;Pessoal;Auxiliar;8,96;12,5
Feminino;Casado;15;Exatas;23;Rio de Janeiro;Vendas;Auxiliar;8,85;19
Femi ;Viúvo;9;Exatas;3;São Paulo;Produção;Auxiliar;1,35;2,96
Feminino;Casado;17;Sócio-econômicas;19;São Paulo;Vendas;Assistente;15,69;61,26
Masculino;Divorciado;16;Exatas;19;Rio de Janeiro;Produção;Assistente;5,86;17,7
Masculino;Casado;14;Exatas;5;Florianópolis;Vendas;Auxiliar;5,05;3,3
Feminino;Casado;13;Biológicas;12;Curitiba;Produção;Auxiliar;3,44;21,08
Masculino;Solteiro;19;Exatas;23;Curitiba;Vendas;Assistente;15,22;19
Feminino;Viúvo;18;Sócio-econômicas;35;São Paulo;Vendas;Assistente;22,61;54,92
Feminino;Divo ;14;Sócio-econômicas;10;Rio de Janeiro;Pessoal;Auxiliar;4,92;14,38
Masculino;Casado;13;Sócio-econômicas;8;Rio de Janeiro;Vendas;Assistente;10,19;38,96
Feminino;Casado;16;Sócio-econômicas;22;Rio de Janeiro;Vendas;Assistente;19,12;45,22
Feminino;Casado;10;Exatas;3;Curitiba;Financeiro;Auxiliar;1,6;2,98
Feminino;Casado;19;Humanas;32;Rio de Janeiro;Vendas;Gerente;21,6;55,86
Masculino;Casado;11;Exatas;12;Curitiba;Produção;Auxiliar;3,1;3,7
Feminino;Casado;17;Sócio-econômicas;21;Rio de Janeiro;Vendas;Gerente;17,34;37,5
Masculino;Casado;18;Sócio-econômicas;23;São Paulo;Vendas;Assistente;26,99;49,92
Masculino;Solteiro;10;Humanas;17;Curitiba;Vendas;Auxiliar;1,98;2,56
Masculino;Casado;19;Exatas;21;São Paulo;Pessoal;Assistente;17,34;12,18
Masculino;Casado;16;Sócio-econômicas;20;Rio de Janeiro;Vendas;Assistente;27,22;47,74
Masculino;Solteiro;16;Humanas;16;Florianópolis;Vendas;Assistente;5,19;19
Masculino;Casado;16;Exatas;8;Rio  ;Vendas;Assistente;5,55;12,34
Feminino;Solteiro;8;Biológicas;9;Florianópolis;Produção;Auxiliar;1,07;2,3
Masculino;Casado;21;Sócio-econômicas;37;Rio de Janeiro;Vendas;Gerente;77,92;92,72
Masculino;Casado;14;Exatas;12;São Paulo;Produção;Assistente;13;19,22
Feminino;Divorciado;14;Sócio-econômicas;9;Curitiba;Produção;Auxiliar;4,4;8,56
Masculino;Casado;18;Sócio-econômicas;15;Rio de Janeiro;Financeiro;Assistente;21,01;50,8
Feminino;Viúvo;14;Sócio-econômicas;19;São Paulo;Produção;Auxiliar;13,86;8,8
Feminino;Casado;17;Exatas;4;Florianópolis;Vendas;Auxiliar;2,87;2,92
Masculino;Casado;18;Sócio-econômicas;27;Rio de Janeiro;Vendas;Assistente;24,74;36,44
Masculino;Divorciado;13;Exatas;19;São Paulo;Vendas;Auxiliar;2,27;8,56
Masculino;Casado;15;Sócio-econômicas;39;Rio de Janeiro;Vendas;Gerente;43,12;86,88
Masculino;Divorciado;16;Sócio-econômicas;15;São Paulo;Vendas;Assi ;11,92;22,82
Feminino;Casado;14;Exatas;0;Rio de Janeiro;Produção;Auxiliar;4,04;33,34
Feminino;Divorciado;16;Sócio-econômicas;31;Rio de Janeiro;Vendas;Assistente;9,61;9,84
